Mes - Año,Empresas,Flota Propia,Terceros,Total,Toneladas
2025-01,991,666,5102,6759,99381.0
2025-02,1086,627,5161,6874,100984.0
2025-03,1099,622,5304,7025,102505.0
2025-04,996,655,5084,6735,100842.0
2025-05,976,745,5800,7521,112844.0
2025-06,831,573,4900,6304,90704.0
2025-07,1023,670,6139,7832,117218.0
2025-08,1080,698,5763,7541,111867.0
2025-09,1114,742,6445,8301,121155.0
2025-10,1091,721,6510,8322,123240.0
2025-11,696,693,6428,7817,118443.0
2025-12,599,635,5595,6829,100579.0
2026-01,662,623,5800,7085,103663.0
2026-02,709,643,5868,7220,104867.0
2026-03,766,649,6604,8019,113582.0
2026-04,654,630,6092,7376,106571.0
2026-05,906,557,5991,7454,107396.0
2026-06,845,460,5657,6962,100742.0
