Fecha,viajes,toneladas,viajes_propia,viajes_terceros,dias_habiles,festivos
2024-12-30,553.0,8410.23,45.0,437.0,2,0
2025-01-06,1234.0,17427.243,104.0,973.0,4,1
2025-01-13,1606.0,23638.560999999998,190.0,1230.0,5,0
2025-01-20,1731.0,24139.809,139.0,1327.0,5,0
2025-01-27,1822.0,28107.962,203.0,1278.0,5,0
2025-02-03,1576.0,22059.893,125.0,1216.0,5,0
2025-02-10,1708.0,25223.411,185.0,1268.0,5,0
2025-02-17,1734.0,25470.458,139.0,1307.0,5,0
2025-02-24,1867.0,28508.277,177.0,1389.0,5,0
2025-03-03,1486.0,21253.011,117.0,1200.0,5,0
2025-03-10,1649.0,23477.322,155.0,1206.0,5,0
2025-03-17,1708.0,25316.593,163.0,1227.0,5,0
2025-03-24,1605.0,23346.495,105.0,1257.0,4,1
2025-03-31,1672.0,24685.824,198.0,1237.0,5,0
2025-04-07,1694.0,25028.351,136.0,1323.0,5,0
2025-04-14,996.0,16193.819,150.0,675.0,3,2
2025-04-21,1786.0,25963.147,127.0,1401.0,5,0
2025-04-28,1425.0,22083.53,169.0,1030.0,4,1
2025-05-05,1648.0,23763.439,145.0,1281.0,5,0
2025-05-12,1762.0,27321.683,205.0,1334.0,5,0
2025-05-19,1779.0,26573.487,126.0,1427.0,5,0
2025-05-26,1896.0,28707.982,212.0,1451.0,5,0
2025-06-02,1267.0,16970.624,106.0,1015.0,4,1
2025-06-09,1697.0,24713.146,174.0,1322.0,5,0
2025-06-16,1671.0,23798.354,136.0,1325.0,5,0
2025-06-23,1579.0,23808.678,139.0,1183.0,4,1
2025-06-30,1344.0,19644.717,104.0,1040.0,4,1
2025-07-07,1654.0,23569.259,116.0,1322.0,5,0
2025-07-14,1795.0,26971.373,177.0,1399.0,5,1
2025-07-21,1655.0,24663.705,110.0,1369.0,5,0
2025-07-28,1887.0,29852.798,215.0,1389.0,5,0
2025-08-04,1419.0,20830.966,105.0,1103.0,4,1
2025-08-11,1920.0,28701.896,212.0,1446.0,5,0
2025-08-18,1585.0,22861.395,120.0,1209.0,4,1
2025-08-25,2181.0,33257.226,227.0,1657.0,5,0
2025-09-01,1738.0,24354.695,139.0,1373.0,5,0
2025-09-08,1890.0,26963.069,140.0,1499.0,5,0
2025-09-15,1888.0,28189.146,202.0,1458.0,5,0
2025-09-22,1986.0,29012.199,147.0,1532.0,5,0
2025-09-29,1901.0,27440.124000000003,199.0,1451.0,5,0
2025-10-06,1828.0,26082.154,136.0,1466.0,5,0
2025-10-13,1652.0,25529.673,185.0,1277.0,4,1
2025-10-20,1956.0,28729.351,125.0,1573.0,5,0
2025-10-27,1991.0,31102.057,208.0,1504.0,5,0
2025-11-03,1571.0,22575.185,113.0,1330.0,4,1
2025-11-10,2002.0,32004.805,236.0,1633.0,5,0
2025-11-17,1750.0,25732.471,116.0,1451.0,4,1
2025-11-24,2287.0,35123.283,210.0,1836.0,5,0
2025-12-01,1821.0,26441.221,135.0,1545.0,5,0
2025-12-08,1687.0,24521.33,115.0,1445.0,4,1
2025-12-15,1927.0,28263.116,194.0,1550.0,5,0
2025-12-22,1057.0,15014.766,87.0,830.0,4,1
2025-12-29,682.0,11851.644,139.0,515.0,4,1
2026-01-05,1485.0,20891.331000000002,116.0,1205.0,5,0
2026-01-12,1499.0,21438.334,131.0,1237.0,4,1
2026-01-19,1778.0,26993.772,180.0,1446.0,5,0
2026-01-26,1998.0,29026.885,161.0,1640.0,5,0
2026-02-02,1645.0,23273.506,133.0,1394.0,5,0
2026-02-09,1754.0,25383.947,135.0,1463.0,5,0
2026-02-16,1083.0,17720.23,146.0,735.0,5,0
2026-02-23,2774.0,39164.949,229.0,2306.0,5,0
2026-03-02,1871.0,25442.209,120.0,1576.0,5,0
2026-03-09,1858.0,25336.882,118.0,1570.0,5,0
2026-03-16,1902.0,27818.787,185.0,1521.0,5,0
2026-03-23,1556.0,22090.551,104.0,1321.0,4,1
2026-03-30,1256.0,19456.092,180.0,947.0,3,2
2026-04-06,1783.0,24722.452999999998,131.0,1510.0,5,0
2026-04-13,1975.0,29820.824,193.0,1610.0,5,0
2026-04-20,1789.0,25628.753,139.0,1521.0,5,0
2026-04-27,1629.0,23016.255,140.0,1301.0,4,1
2026-05-04,1868.0,27348.916,152.0,1501.0,5,0
2026-05-11,1842.0,26175.78,152.0,1484.0,5,0
2026-05-18,1620.0,23558.423000000003,108.0,1279.0,4,1
2026-05-25,1844.0,26257.416,114.0,1498.0,5,0
2026-06-01,1644.0,23103.045,127.0,1348.0,5,0
2026-06-08,1490.0,22143.362999999998,87.0,1222.0,4,1
2026-06-15,1570.0,22637.263,91.0,1284.0,4,1
2026-06-22,1917.0,27966.602,131.0,1515.0,5,0
2026-06-29,341.0,4891.456999999999,24.0,288.0,1,1
