Negocio,viajes,toneladas,ton_prom,corredores,placas,cv_ton
REVESTIMIENTO,43897,829514.4,18.9,562,2830,58.5
PORCELANA SANITARIA,25500,159566.9,6.3,237,1810,86.0
SUMICOL,20026,361934.3,18.1,282,1352,55.6
CORLANC,12012,147204.7,12.3,208,991,67.8
ALION,10320,132192.1,12.8,224,139,88.9
LOCERIA,4170,59070.7,14.2,91,796,76.0
TERNIUM,3417,56603.3,16.6,201,292,69.9
GRIFERIA,3342,8483.7,2.5,24,52,105.9
CLIENTES TERCEROS,3084,53149.5,17.2,329,354,68.0
ESTUDIO CERAMICO,2031,34793.9,17.1,85,392,76.0
AGROMIL,2023,59885.6,29.6,10,526,33.3
GAMMA,1116,11256.1,10.1,82,421,83.6
ALMACENES CORONA,591,14109.4,23.9,37,319,32.8
ERECOS,447,8818.5,19.7,46,210,55.7
