,viajes,toneladas,ton_prom,placas_activas,clientes_activos,corredores_activos,viajes_propia,viajes_terceros,dow,mes,trimestre,festivo,habil,fin_de_semana,fin_de_mes,t,lag7,lag14,roll7_mean,roll30_mean,sin7,cos7
viajes,1.0,0.8294761212630204,0.020078348698772154,0.8547926196283734,0.4480405986510634,0.7523067073438617,0.4952915391301617,0.836572553429884,-0.37061152736843195,0.07279823249106361,0.0841130644512966,-0.2724079367358739,0.5444639913326224,-0.4422828825802433,0.13279361132483666,0.07347590307604729,0.33969814108482227,0.3543104888394186,0.04684216233195152,0.14019987241314877,0.36396956382720463,-0.03535130721061289
toneladas,0.8294761212630204,1.0,0.19242609408597997,0.7657884478226038,0.4109685305401432,0.697351315811867,0.5675658387619186,0.7084060099229108,-0.34013019288588375,0.07388342839024258,0.09171267392902228,-0.2709850413701151,0.5103933464148603,-0.4079675033543035,0.14947243929514042,0.03613693671395202,0.28836410850419536,0.309215523487784,0.018457826584847088,0.10511412399995235,0.2935242104292,-0.05096277379665307
ton_prom,0.020078348698772154,0.19242609408597997,1.0,0.002645545510526182,-0.0419219075316173,-0.005412334580100132,0.21767730378042147,-0.06899570077706531,-0.004123093720200888,0.05686460617211247,0.07582643750086653,0.020529935957504523,-0.02525552694716714,0.010631075005975335,0.14132005887095941,-0.02249276797178349,-0.07878711817426505,-0.060847710879625365,-0.050172783962081205,-0.015071567315759395,-0.10791822227165482,0.015457428278971747
placas_activas,0.8547926196283734,0.7657884478226038,0.002645545510526182,1.0,0.44956259634799034,0.7825616579343389,0.4349362004313636,0.8360234400889481,-0.3270785214765496,0.06690624629434662,0.0798260088647656,-0.2721094623751753,0.49119599790740875,-0.38686993392545344,0.13148992708736307,0.07270207325261248,0.33978735054788967,0.3350104001322016,0.0673090903265353,0.1477727593120111,0.32059890090775384,-0.04776836558856391
clientes_activos,0.4480405986510634,0.4109685305401432,-0.0419219075316173,0.44956259634799034,1.0,0.5246032747371598,0.2912446462307796,0.5140528023002088,-0.22453567005883235,0.14040520934580708,0.14938834965026945,-0.2371729440428314,0.37646059600419673,-0.28419989484302666,-0.001670354475401526,0.43536925149002365,0.29541186058167207,0.26608699442056283,0.10485950723843057,0.20198649868147836,0.19457762042591417,-0.08050455312878835
corredores_activos,0.7523067073438617,0.697351315811867,-0.005412334580100132,0.7825616579343389,0.5246032747371598,1.0,0.4265098771848362,0.7655405006570227,-0.29457245245165997,0.10519787225969963,0.1173373984502089,-0.2754402837380157,0.4941268464143353,-0.38880712391454997,0.08893218031982181,0.1434735244293785,0.3428111252897143,0.34066512941718924,0.08224985598238606,0.16817136531141902,0.2829590562347935,-0.0862697445849741
viajes_propia,0.4952915391301617,0.5675658387619186,0.21767730378042147,0.4349362004313636,0.2912446462307796,0.4265098771848362,1.0,0.38578067709095903,-0.30893677207093967,0.020584961401647377,0.03917800385915715,-0.2566102958070853,0.4931298247190804,-0.3972916462971201,0.15554209941834202,-0.04391307226968965,0.2023073120826198,0.23667516576101558,-0.04788912177359797,0.04591618687672506,0.23114443345477467,-0.07316588460636465
viajes_terceros,0.836572553429884,0.7084060099229108,-0.06899570077706531,0.8360234400889481,0.5140528023002088,0.7655405006570227,0.38578067709095903,1.0,-0.34724214569821926,0.078272565824774,0.08820125401682695,-0.26811678811938555,0.5270551828203073,-0.42601168655865235,0.0837248579951836,0.14584715572825302,0.375942441988964,0.3691852321070642,0.08213210974899614,0.154637793262085,0.36217081323064704,-0.04686128821838317
dow,-0.37061152736843195,-0.34013019288588375,-0.004123093720200888,-0.3270785214765496,-0.22453567005883235,-0.29457245245165997,-0.30893677207093967,-0.34724214569821926,1.0,-0.008175581470009814,-0.0065285337235348444,-0.15490830796682475,-0.5861008546974641,0.6908786111895832,0.019655688352854705,-0.0006176294236738171,-0.37158622053251716,-0.3699019229599351,-0.001302760352647401,-0.014610170039344913,-0.5240016571500622,-0.4280130410504891
mes,0.07279823249106361,0.07388342839024258,0.05686460617211247,0.06690624629434662,0.14040520934580708,0.10519787225969963,0.020584961401647377,0.078272565824774,-0.008175581470009814,1.0,0.8956381517690278,0.025746980966150978,-0.005248790083370011,-0.004649819463409017,-0.007786496688681757,0.19479980779131367,0.13785807644434306,0.1326454966726142,0.21387735061960292,0.34404961882951357,0.009401043360589442,0.009891228116821294
