,viajes,toneladas,ton_prom,placas_activas,clientes_activos,corredores_activos,viajes_propia,viajes_terceros,dow,mes,trimestre,festivo,habil,fin_de_semana,fin_de_mes,t,lag7,lag14,roll7_mean,roll30_mean,sin7,cos7
viajes,1.0,0.9514344498238394,0.02391404369387138,0.9638481500236018,0.6017955107452526,0.9033238940746038,0.6662374393628148,0.9571400562216246,-0.48009543040958796,0.10094081019961854,0.10907053183849742,-0.33256057714373716,0.6646915701546612,-0.5399470090854789,0.16211686249805593,0.10539380024943486,0.465674543133873,0.49803248463830435,0.07152879360129841,0.2094013575181421,0.5216204553714145,-0.03656544348923431
toneladas,0.9514344498238394,1.0,0.23734046996581223,0.9125867941015645,0.553901345101354,0.8591655058256101,0.7428652724577381,0.8728739930397952,-0.4453209824987696,0.10185446483897193,0.11872930225014164,-0.3315620000445253,0.6244884879663771,-0.49916600813613005,0.1828860392944781,0.04943886376851686,0.40678548129526215,0.4445381088146033,0.026567515370037896,0.15988067290456376,0.42702391117403043,-0.05906595452817173
ton_prom,0.02391404369387138,0.23734046996581223,1.0,-0.002341786751794003,-0.05838789874928927,-0.011215352057127008,0.27206161254779726,-0.09537193082029737,-0.0028579692584770468,0.08215582567487294,0.10020273063659929,0.025119270762843305,-0.03090123714741924,0.01300758327390567,0.1729112467933914,-0.03202166469050377,-0.11009273872956034,-0.08431344440142453,-0.0757535108412354,-0.023098809072273657,-0.14312822213816578,0.025704346578992402
placas_activas,0.9638481500236018,0.9125867941015645,-0.002341786751794003,1.0,0.6023146543006401,0.9220638284793111,0.5993005647048419,0.9559342716515213,-0.4278226088155748,0.09043377246698917,0.1023508099216707,-0.3319476748796981,0.5992124198561227,-0.4719445399894061,0.1604052104096664,0.10025137805092509,0.4684413696757755,0.47347452443667426,0.100684058700277,0.21945938938203743,0.45419310901319476,-0.05728425226761827
clientes_activos,0.6017955107452526,0.553901345101354,-0.05838789874928927,0.6023146543006401,1.0,0.6916103088309317,0.4050982087990188,0.6785158909890573,-0.29342556729439284,0.17032559073457465,0.1766968030413699,-0.2766738725788612,0.43915975066286417,-0.33153311736318997,-0.001948550426583705,0.5493533808780439,0.4044866678802543,0.36532157914154023,0.1534339547116668,0.3020298473133504,0.26901321119277943,-0.10098867946620084
corredores_activos,0.9033238940746038,0.8591655058256101,-0.011215352057127008,0.9220638284793111,0.6916103088309317,1.0,0.5902264632218982,0.9141220884547872,-0.3906001300099917,0.14156376469252163,0.14961740851341665,-0.3352462853392082,0.6014159857036195,-0.4732283246184588,0.10824191252901327,0.2062285523332322,0.4692235587785599,0.47723027335272683,0.12310018752478938,0.2505411795092301,0.4078755154337994,-0.11189452928114041
viajes_propia,0.6662374393628148,0.7428652724577381,0.27206161254779726,0.5993005647048419,0.4050982087990188,0.5902264632218982,1.0,0.5452288923476643,-0.40229928783718555,0.02845078634324272,0.05098642941347168,-0.3089916493643834,0.593791443213444,-0.47839000645682134,0.18729260138885423,-0.06495452930948147,0.28935827466896547,0.3412016990645709,-0.06882476923614826,0.06790511419705833,0.33998111428691086,-0.0887021388183809
viajes_terceros,0.9571400562216246,0.8728739930397952,-0.09537193082029737,0.9559342716515213,0.6785158909890573,0.9141220884547872,0.5452288923476643,1.0,-0.4543884734905737,0.10452394519204514,0.11332371088260508,-0.32721036932854775,0.6432194053822803,-0.5199056809343282,0.10217801689607613,0.20608156354488688,0.5087361390075571,0.5120370739914736,0.12431695712376004,0.23117812076835637,0.518649966601837,-0.058345468390264096
dow,-0.48009543040958796,-0.4453209824987696,-0.0028579692584770468,-0.4278226088155748,-0.29342556729439284,-0.3906001300099917,-0.40229928783718555,-0.4543884734905737,1.0,-0.011114120462012385,-0.008148136282023391,-0.17746940456772417,-0.6714615314374816,0.7914992899067086,0.02251837460581474,-0.005110878337123389,-0.4821846546856907,-0.48091412342069256,-0.0012926650556342133,-0.01827161491647655,-0.7150946014762211,-0.5358945714531483
mes,0.10094081019961854,0.10185446483897193,0.08215582567487294,0.09043377246698917,0.17032559073457465,0.14156376469252163,0.02845078634324272,0.10452394519204514,-0.011114120462012385,1.0,0.9638527702251386,0.030179723824039953,-0.006152450857625639,-0.005450358137982045,-0.009127063088684424,0.011527256993923837,0.1932512037819001,0.18484848263047718,0.2958566446852314,0.47187349242981697,0.012590494595827612,0.013330598431906298
