,pearson,spearman,kendall,abs_spearman
placas_activas,0.986,0.964,0.855,0.964
viajes_terceros,0.987,0.957,0.837,0.957
toneladas,0.982,0.951,0.829,0.951
corredores_activos,0.973,0.903,0.752,0.903
viajes_propia,0.692,0.666,0.495,0.666
habil,0.702,0.665,0.544,0.665
clientes_activos,0.629,0.602,0.448,0.602
fin_de_semana,-0.536,-0.54,-0.442,0.54
sin7,0.484,0.522,0.364,0.522
lag14,0.589,0.498,0.354,0.498
dow,-0.469,-0.48,-0.371,0.48
lag7,0.556,0.466,0.34,0.466
festivo,-0.426,-0.333,-0.272,0.333
roll30_mean,0.112,0.209,0.14,0.209
fin_de_mes,0.11,0.162,0.133,0.162
trimestre,0.036,0.109,0.084,0.109
t,0.031,0.105,0.073,0.105
mes,0.029,0.101,0.073,0.101
roll7_mean,0.03,0.072,0.047,0.072
cos7,-0.281,-0.037,-0.035,0.037
ton_prom,-0.11,0.024,0.02,0.024
