Negocio,viajes,toneladas,ton_prom,corredores,part_viajes_%
REVESTIMIENTO,43897,829514.4,18.9,562,33.3
PORCELANA SANITARIA,25500,159566.9,6.3,237,19.3
SUMICOL,20026,361934.3,18.1,282,15.2
CORLANC,12012,147204.7,12.3,208,9.1
ALION,10320,132192.1,12.8,224,7.8
LOCERIA,4170,59070.7,14.2,91,3.2
TERNIUM,3417,56603.3,16.6,201,2.6
GRIFERIA,3342,8483.7,2.5,24,2.5
CLIENTES TERCEROS,3084,53149.5,17.2,329,2.3
ESTUDIO CERAMICO,2031,34793.9,17.1,85,1.5
AGROMIL,2023,59885.6,29.6,10,1.5
GAMMA,1116,11256.1,10.1,82,0.8
ALMACENES CORONA,591,14109.4,23.9,37,0.4
ERECOS,447,8818.5,19.7,46,0.3
