corredor,viajes,toneladas,ton_prom,cv_mensual_%,tendencia_mes,crecimiento_%
MADRID -> BOGOTA D.C.,6522,38485.3,5.90084329960135,8.8,0.67,3.3
SOPO -> BOGOTA D.C.,4820,61496.794,12.758670954356846,11.1,-1.28,-8.6
SABANETA -> MEDELLIN,4656,57522.903,12.354575386597938,17.2,2.68,18.6
SOACHA -> BOGOTA D.C.,4289,53038.062,12.366067148519468,15.4,3.36,25.4
CARTAGENA -> CARTAGENA,3881,60988.404,15.714610667353776,53.5,-0.99,-8.3
YUMBO -> CALI,3695,46536.516,12.594456292286875,14.1,3.88,34.0
MADRID -> FUNZA,2752,24062.615,8.74368277616279,9.9,-1.38,-16.2
MADRID -> MADRID,2525,73711.812,29.19279683168317,18.3,-0.74,-9.5
BOGOTA D.C. -> FUNZA,2124,2579.1,1.2142655367231638,15.3,-1.99,-30.4
SABANAGRANDE -> BARRANQUILLA,1987,23482.384,11.818009058882737,17.4,-0.72,-11.7
SOPO -> MADRID,1910,50659.483,26.52328952879581,30.9,4.06,68.9
GIRARDOTA -> MEDELLIN,1856,9933.497,5.352099676724138,17.3,-2.69,-47.0
GIRARDOTA -> CARTAGENA,1605,22095.278,13.766528348909656,17.8,-1.76,-35.5
SABANAGRANDE -> CARTAGENA,1500,18574.347999999998,12.382898666666666,20.2,-1.37,-29.6
SOPO -> MEDELLIN,1429,30716.348,21.49499510146956,15.7,-0.48,-10.9
FUNZA -> MADRID,1367,8062.618,5.898038039502561,10.5,-0.22,-5.2
BOGOTA D.C. -> BOGOTA D.C.,1328,13046.396,9.824093373493977,59.8,4.34,105.9
MADRID -> CARTAGENA,1309,23477.692,17.9355935828877,17.5,-1.13,-28.0
SOPO -> CALI,1202,28396.74,23.624575707154744,25.4,-2.75,-74.1
GIRARDOTA -> CALI,1163,7088.878,6.095337919174549,12.6,-0.49,-13.7
SABANAGRANDE -> SANTA MARTA,1091,12273.504,11.249774518790101,27.1,0.64,19.0
RIONEGRO -> MEDELLIN,1070,4949.452,4.625656074766355,10.6,0.43,13.0
GIRARDOTA -> BELLO,1046,6689.135,6.394966539196941,17.2,0.42,13.0
FUNZA -> BOGOTA D.C.,992,1184.784,1.1943387096774194,25.7,-1.28,-41.8
GIRARDOTA -> MADRID,992,11323.359,11.414676411290323,18.8,-1.11,-36.3
BUENAVENTURA -> BUENAVENTURA,986,14029.636,14.228839756592292,77.0,-4.51,-148.2
IBAGUE -> BUENAVENTURA,965,33252.1,34.458134715025906,58.9,-1.97,-66.1
MADRID -> GIRARDOTA,898,8812.743,9.813744988864142,22.2,-1.2,-43.3
MADRID -> MEDELLIN,895,15737.807,17.58414189944134,24.1,1.22,44.2
SABANETA -> ENVIGADO,802,6325.659,7.8873553615960095,44.1,-1.14,-46.1
SOPO -> SOPO,784,22943.171,29.264248724489793,35.9,1.13,46.7
BUENAVENTURA -> MADRID,764,11081.968,14.505193717277487,42.4,1.31,55.6
SABANETA -> BELLO,756,13964.063,18.470982804232804,14.6,0.53,22.7
GIRARDOTA -> BOGOTA D.C.,744,7754.189,10.422297043010753,44.9,-2.66,-115.8
MADRID -> BUCARAMANGA,736,8097.205,11.00163722826087,16.7,-0.55,-24.2
SOPO -> BUCARAMANGA,717,15682.221,21.87199581589958,16.3,-0.19,-8.6
GIRARDOTA -> BARRANQUILLA,690,3935.056,5.702979710144928,11.1,-0.3,-14.1
SOPO -> FUNZA,672,19784.668,29.441470238095242,27.6,-0.79,-38.1
MADRID -> CALI,658,13893.443,21.114655015197567,21.5,-0.5,-24.6
MADRID -> CUCUTA,601,7568.075,12.59247088186356,27.8,0.87,46.9
CARTAGENA -> SABANETA,565,14205.27,25.142070796460178,30.2,-1.02,-58.5
MADRID -> SOACHA,562,3287.757,5.850101423487545,21.7,-0.04,-2.3
YUMBO -> PALMIRA,551,5658.424,10.269372050816697,15.2,0.2,11.8
SABANETA -> SOPO,549,16386.145,29.84725865209472,20.6,0.17,10.0
