corredor,viajes,toneladas,ton_prom,cv_mensual_%,tendencia_mes,crecimiento_%,z_dem,z_var,indice_criticidad
LA ESTRELLA -> CALDAS,479,10404.8,21.721920668058452,127.9,3.33,225.2,-0.2852434763464157,4.982183832635913,4.7
MADRID -> BOGOTA D.C.,6522,38485.3,5.90084329960135,8.8,0.67,3.3,5.682459372392688,-1.14690760858968,4.54
CARTAGENA -> CARTAGENA,3881,60988.404,15.714610667353776,53.5,-0.99,-8.3,3.0743668316811252,1.1534314965554415,4.23
IBAGUE -> CARTAGENA,460,15865.5,34.49021739130435,109.5,-1.0,-70.4,-0.3040067320349881,4.035288093605258,3.73
SABANETA -> MEDELLIN,4656,57522.903,12.354575386597938,17.2,2.68,18.6,3.839710155820262,-0.7146291190322076,3.13
SOPO -> BOGOTA D.C.,4820,61496.794,12.758670954356846,11.1,-1.28,-8.6,4.001666678605834,-1.0285456412108482,2.97
SOACHA -> BOGOTA D.C.,4289,53038.062,12.366067148519468,15.4,3.36,25.4,3.47728305909889,-0.8072602239373802,2.67
PALMAR DE VARELA -> BOGOTA D.C.,313,10332.168,33.010121405750795,91.0,2.7,279.5,-0.4491750786781534,3.0832461820798724,2.63
BUENAVENTURA -> BUENAVENTURA,986,14029.636,14.228839756592292,77.0,-4.51,-148.2,0.21543918860654232,2.3627820328174183,2.58
COTA -> BOGOTA D.C.,460,5592.898,12.158473913043478,85.8,3.07,216.2,-0.3040067320349881,2.815645212353818,2.51
BOGOTA D.C. -> BOGOTA D.C.,1328,13046.396,9.824093373493977,59.8,4.34,105.9,0.5531777910008454,1.4776403637235458,2.03
YUMBO -> CALI,3695,46536.516,12.594456292286875,14.1,3.88,34.0,2.890684433887732,-0.8741604663688938,2.02
IBAGUE -> BUENAVENTURA,965,33252.1,34.458134715025906,58.9,-1.97,-66.1,0.1947008533718044,1.4313248112709596,1.63
LA ESTRELLA -> ENVIGADO,213,6816.0,32.0,71.8,1.11,168.8,-0.5479290559864292,2.095181063091364,1.55
SOPO -> MADRID,1910,50659.483,26.52328952879581,30.9,4.06,68.9,1.1279259389350103,-0.009603487253948871,1.12
SOPO -> CARTAGENA,462,13317.83,28.826471861471862,58.2,-1.76,-123.4,-0.3020316524888226,1.395301603807837,1.09
MADRID -> MADRID,2525,73711.812,29.19279683168317,18.3,-0.74,-9.5,1.735262899380906,-0.6580212215901575,1.08
GIRARDOTA -> GIRARDOTA,371,1931.705,5.206752021563342,58.7,1.85,161.6,-0.39189777183935354,1.4210324662814962,1.03
SONSON -> IBAGUE,204,6836.0,33.509803921568626,60.8,-0.83,-131.8,-0.556816913944174,1.529102088670864,0.97
MADRID -> FUNZA,2752,24062.615,8.74368277616279,9.9,-1.38,-16.2,1.9594344278706919,-1.0902997111476302,0.87
