PLACA,viajes,toneladas,dias_activos,corredores,flota,tipologia,viajes_mes,meses_activos,estabilidad,indice_utilizacion
AEB126,28,431.745,27,19,Terceros,DOBLETROQUE,1.56,14,0.78,0.21
AEC219,151,1368.1,146,10,Terceros,SENCILLO,8.43,11,0.61,1.12
AHE170,235,2112.452,223,23,Terceros,SENCILLO,13.13,17,0.94,1.5
AHJ869,95,693.868,95,47,Terceros,SENCILLO,5.31,18,1.0,0.7
AJE379,329,2854.005,313,13,Terceros,SENCILLO,18.38,18,1.0,1.5
AQD180,326,2931.166,315,16,Terceros,SENCILLO,18.21,18,1.0,1.5
ASE676,68,529.213,67,36,Terceros,SENCILLO,3.8,18,1.0,0.5
ASF015,2,17.101999999999997,2,2,Empresas,SENCILLO,0.11,2,0.11,0.01
ATA007,209,1839.585,201,19,Terceros,SENCILLO,11.67,17,0.94,1.5
ATA619,201,1800.584,179,18,Terceros,SENCILLO,11.23,14,0.78,1.49
AUN944,121,1085.746,117,8,Terceros,SENCILLO,6.76,8,0.44,0.9
AUP035,165,1411.423,150,55,Terceros,SENCILLO,9.22,18,1.0,1.22
BAG935,340,2970.647,328,25,Terceros,SENCILLO,18.99,18,1.0,1.5
BAU353,1,9.091,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
BBJ015,129,1110.647,123,54,Terceros,SENCILLO,7.21,16,0.89,0.96
BBJ428,51,204.569,48,10,Empresas,TURBO,2.85,12,0.67,0.38
BBX064,71,1010.616,52,8,Terceros,DOBLETROQUE,3.97,5,0.28,0.53
BEP095,24,375.63,24,23,Terceros,DOBLETROQUE,1.34,15,0.83,0.18
BEP294,51,807.827,51,7,Terceros,DOBLETROQUE,2.85,16,0.89,0.38
BGW222,3,91.89,3,1,Empresas,TRACTOMULA,0.17,3,0.17,0.02
BUD916,75,1088.972,73,36,Terceros,DOBLETROQUE,4.19,18,1.0,0.56
CHG502,274,2491.387,268,20,Terceros,SENCILLO,15.3,18,1.0,1.5
CHJ646,25,205.56,25,17,Terceros,SENCILLO,1.4,13,0.72,0.19
CIG551,35,552.696,35,28,Terceros,DOBLETROQUE,1.95,10,0.56,0.26
CRV962,36,158.591,36,9,Terceros,TURBO,2.01,4,0.22,0.27
CRY065,7,27.929000000000002,7,4,Empresas,TURBO,0.39,5,0.28,0.05
CRZ700,1,4.0,1,1,Empresas,TURBO,0.06,1,0.06,0.01
CSC335,32,62.566,31,11,Terceros,TURBO,1.79,7,0.39,0.24
DUD481,1,31.2,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
DWR075,55,1420.079,49,7,Empresas,TRACTOMULA,3.07,11,0.61,0.41
ELD049,5,60.208,5,3,Empresas,DOBLETROQUE,0.28,5,0.28,0.04
ELD989,13,207.14999999999998,13,9,Terceros,DOBLETROQUE,0.73,4,0.22,0.1
EQO020,1,8.982,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
EQO449,44,273.974,44,25,Terceros,SENCILLO,2.46,15,0.83,0.33
EQO923,2,9.526,2,1,Empresas,SENCILLO,0.11,1,0.06,0.01
EQP080,1,1.0,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
EQP365,1,8.874,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
EQP626,1,0.218,1,1,Empresas,TURBO,0.06,1,0.06,0.01
EQP968,8,93.021,8,4,Empresas,TRACTOMULA,0.45,4,0.22,0.06
EQQ154,180,234.0,112,6,Terceros,TURBO,10.05,6,0.33,1.33
EQQ352,2,3.6,2,1,Terceros,TURBO,0.11,2,0.11,0.01
EQR024,124,850.051,117,20,Terceros,SENCILLO,6.93,18,1.0,0.92
EQR203,1,6.484,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
EQR825,1,4.145,1,1,Empresas,TURBO,0.06,1,0.06,0.01
EQT941,1,4.205,1,1,Empresas,TURBO,0.06,1,0.06,0.01
EQW783,1,4.631,1,1,Empresas,TURBO,0.06,1,0.06,0.01
EQX365,3,7.558,3,3,Terceros,TURBO,0.17,1,0.06,0.02
EQY310,1,29.867,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
EQZ693,1,8.8,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
ERK479,1,3.852,1,1,Empresas,TURBO,0.06,1,0.06,0.01
ERK509,1,5.863,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
ERK510,1,6.684,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
ERK762,15,246.869,15,9,Terceros,DOBLETROQUE,0.84,5,0.28,0.11
ERL023,1,3.996,1,1,Empresas,TURBO,0.06,1,0.06,0.01
ERL279,1,4.09,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
ERL463,1,3.933,1,1,Empresas,TURBO,0.06,1,0.06,0.01
ERL644,50,245.493,50,17,Terceros,SENCILLO,2.79,17,0.94,0.37
ERL995,6,124.338,4,5,Empresas,TRACTOMULA,0.34,2,0.11,0.05
ESK487,1,3.721,1,1,Terceros,TURBO,0.06,1,0.06,0.01
ESP748,6,12.578,6,6,Terceros,TURBO,0.34,2,0.11,0.05
ESP772,55,1868.0,47,21,Terceros,TRACTOMULA,3.07,12,0.67,0.41
ESP851,51,326.599,43,9,Terceros,SENCILLO,2.85,5,0.28,0.38
ESP971,128,630.358,80,21,Terceros,TURBO,7.15,6,0.33,0.95
ESQ170,35,1179.406,34,17,Terceros,TRACTOMULA,1.95,14,0.78,0.26
ESQ429,1,4.299,1,1,Empresas,TURBO,0.06,1,0.06,0.01
ESQ682,72,1678.922,71,20,Terceros,TRACTOMULA,4.02,18,1.0,0.53
ESQ683,1,29.257,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
ESQ778,22,84.882,22,10,Terceros,TURBO,1.23,7,0.39,0.16
ESQ826,1,11.943,1,1,Empresas,DOBLETROQUE,0.06,1,0.06,0.01
ESQ907,918,1331.344,209,5,Empresas,SENCILLO,51.27,15,0.83,1.5
ESR324,24,399.296,24,4,Empresas,TRACTOMULA,1.34,13,0.72,0.18
ESR401,68,2303.169,64,29,Terceros,TRACTOMULA,3.8,18,1.0,0.5
ESS419,20,57.965,20,14,Terceros,TURBO,1.12,9,0.5,0.15
ESS947,1,12.0,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
EST050,44,690.881,44,23,Terceros,DOBLETROQUE,2.46,17,0.94,0.33
EST489,37,575.496,37,22,Terceros,DOBLETROQUE,2.07,17,0.94,0.27
EST534,1,5.476,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
EST570,17,66.344,17,7,Terceros,TURBO,0.95,5,0.28,0.13
EST881,58,900.558,57,27,Terceros,DOBLETROQUE,3.24,18,1.0,0.43
EST919,1,31.539,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
EST986,1,1.389,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
EST988,2,25.768,2,2,Empresas,TRACTOMULA,0.11,1,0.06,0.01
ESU030,1,7.882,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
ESU116,2,50.3,2,2,Empresas,TRACTOMULA,0.11,2,0.11,0.01
ESU257,1,15.616,1,1,Empresas,DOBLETROQUE,0.06,1,0.06,0.01
ESU464,2,66.463,2,2,Empresas,TRACTOMULA,0.11,2,0.11,0.01
ESU465,1,33.167,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
ESU466,3,96.96000000000001,3,3,Empresas,TRACTOMULA,0.17,3,0.17,0.02
ESV133,1,30.0,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
