Ciudad Origen,Ciudad Destino,viajes,zona_o,zona_d,tipologia,viajes_rev,excedente,dist_km,costo_retorno_unit,costo_retorno_vacio_est
MADRID,BOGOTA D.C.,6522,Zona Cundinamarca,Zona Cundinamarca,TURBO,33,6489,27.8,160000.0,1038240000.0
SOPO,BOGOTA D.C.,4820,Zona Cundinamarca,Zona Cundinamarca,SENCILLO,12,4808,34.1,200000.0,961600000.0
SABANETA,MEDELLIN,4656,Zona Noroccidental,Zona Noroccidental,TURBO,4,4652,14.8,160000.0,744320000.0
SOACHA,BOGOTA D.C.,4289,Zona Cundinamarca,Zona Cundinamarca,SENCILLO,43,4246,28.3,200000.0,849200000.0
YUMBO,CALI,3695,Zona Sur Occidental,Zona Sur Occidental,SENCILLO,16,3679,19.8,200000.0,735800000.0
SABANAGRANDE,BARRANQUILLA,1987,Zona Costa Atlántica,Zona Costa Atlántica,SENCILLO,1,1986,31.2,200000.0,397200000.0
GIRARDOTA,MEDELLIN,1856,Zona Noroccidental,Zona Noroccidental,TURBO,4,1852,26.7,160000.0,296320000.0
SABANAGRANDE,CARTAGENA,1500,Zona Costa Atlántica,Zona Costa Atlántica,SENCILLO,13,1487,98.1,313920.0,466799040.0
SOPO,MADRID,1910,Zona Cundinamarca,Zona Cundinamarca,TRACTOMULA,461,1449,53.1,350000.0,507150000.0
SOPO,MEDELLIN,1429,Zona Cundinamarca,Zona Noroccidental,TRACTOMULA,0,1429,304.2,1673100.0,2390859900.0
MADRID,FUNZA,2752,Zona Cundinamarca,Zona Cundinamarca,SENCILLO,1367,1385,8.0,200000.0,277000000.0
GIRARDOTA,CARTAGENA,1605,Zona Noroccidental,Zona Costa Atlántica,TRACTOMULA,224,1381,580.0,3190000.0,4405390000.0
SOPO,CALI,1202,Zona Cundinamarca,Zona Sur Occidental,TRACTOMULA,0,1202,428.8,2358400.0,2834796800.0
GIRARDOTA,CALI,1163,Zona Noroccidental,Zona Sur Occidental,TURBO,0,1163,451.1,1172860.0,1364036180.0
BOGOTA D.C.,FUNZA,2124,Zona Cundinamarca,Zona Cundinamarca,TURBO,992,1132,20.0,160000.0,181120000.0
SABANAGRANDE,SANTA MARTA,1091,Zona Costa Atlántica,Zona Costa Atlántica,SENCILLO,0,1091,121.4,388480.0,423831680.0
RIONEGRO,MEDELLIN,1070,Zona Noroccidental,Zona Noroccidental,TURBO,5,1065,31.4,160000.0,170400000.0
GIRARDOTA,BELLO,1046,Zona Noroccidental,Zona Noroccidental,TURBO,1,1045,17.2,160000.0,167200000.0
MADRID,CARTAGENA,1309,Zona Cundinamarca,Zona Costa Atlántica,TRACTOMULA,336,973,836.3,4599650.0,4475459450.0
IBAGUE,BUENAVENTURA,965,Zona Centro,Zona Sur Occidental,TRACTOMULA,5,960,270.0,1485000.0,1425600000.0
