fecha,viajes_pred,dia_semana,festivo,toneladas_pred
2026-07-01,298.0,Miércoles,0,4296.0
2026-07-02,290.0,Jueves,0,4181.0
2026-07-03,271.0,Viernes,0,3907.0
2026-07-04,268.0,Sábado,0,3864.0
2026-07-05,67.0,Domingo,0,966.0
2026-07-06,294.0,Lunes,0,4239.0
2026-07-07,343.0,Martes,0,4945.0
2026-07-08,329.0,Miércoles,0,4743.0
2026-07-09,320.0,Jueves,0,4613.0
2026-07-10,301.0,Viernes,0,4339.0
2026-07-11,271.0,Sábado,0,3907.0
2026-07-12,30.0,Domingo,0,433.0
2026-07-13,57.0,Lunes,1,822.0
2026-07-14,304.0,Martes,0,4383.0
2026-07-15,332.0,Miércoles,0,4786.0
2026-07-16,322.0,Jueves,0,4642.0
2026-07-17,303.0,Viernes,0,4368.0
2026-07-18,273.0,Sábado,0,3936.0
2026-07-19,33.0,Domingo,0,476.0
2026-07-20,64.0,Lunes,1,923.0
2026-07-21,306.0,Martes,0,4412.0
2026-07-22,334.0,Miércoles,0,4815.0
2026-07-23,325.0,Jueves,0,4685.0
2026-07-24,306.0,Viernes,0,4412.0
2026-07-25,275.0,Sábado,0,3965.0
2026-07-26,73.0,Domingo,0,1052.0
2026-07-27,299.0,Lunes,0,4311.0
2026-07-28,347.0,Martes,0,5003.0
2026-07-29,377.0,Miércoles,0,5435.0
2026-07-30,365.0,Jueves,0,5262.0
